EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,SALARY,storeID
198,Donald,OConnell,DOCONNEL,650.507.9833,21-JUN-07,2600,S1000
199,Douglas,Grant,DGRANT,650.507.9844,13-JAN-08,2600,S1000
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-SEP-03,4400,S1000
201,Michael,Hartstein,MHARTSTE,515.123.5555,17-FEB-04,13000,S1000
202,Pat,Fay,PFAY,603.123.6666,17-AUG-05,6000,S1000
203,Susan,Mavris,SMAVRIS,515.123.7777,07-JUN-02,6500,S1000
204,Hermann,Baer,HBAER,515.123.8888,07-JUN-02,10000,S1000
205,Shelley,Higgins,SHIGGINS,515.123.8080,07-JUN-02,12008,S1007
206,William,Gietz,WGIETZ,515.123.8181,07-JUN-02,8300,S1007
100,Steven,King,SKING,515.123.4567,17-JUN-03,24000,S1007
101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-SEP-05,17000,S1007
102,Lex,De Haan,LDEHAAN,515.123.4569,13-JAN-01,17000,S1007
103,Alexander,Hunold,AHUNOLD,590.423.4567,03-JAN-06,9000,S1007
104,Bruce,Ernst,BERNST,590.423.4568,21-MAY-07,6000,S1007
105,David,Austin,DAUSTIN,590.423.4569,25-JUN-05,4800,S1014
106,Valli,Pataballa,VPATABAL,590.423.4560,05-FEB-06,4800,S1014
107,Diana,Lorentz,DLORENTZ,590.423.5567,07-FEB-07,4200,S1014
108,Nancy,Greenberg,NGREENBE,515.124.4569,17-AUG-02,12008,S1014
109,Daniel,Faviet,DFAVIET,515.124.4169,16-AUG-02,9000,S1014
110,John,Chen,JCHEN,515.124.4269,28-SEP-05,8200,S1014
111,Ismael,Sciarra,ISCIARRA,515.124.4369,30-SEP-05,7700,S1014
112,Jose Manuel,Urman,JMURMAN,515.124.4469,07-MAR-06,7800,S1021
113,Luis,Popp,LPOPP,515.124.4567,07-DEC-07,6900,S1021
114,Den,Raphaely,DRAPHEAL,515.127.4561,07-DEC-02,11000,S1021
115,Alexander,Khoo,AKHOO,515.127.4562,18-MAY-03,3100,S1021
116,Shelli,Baida,SBAIDA,515.127.4563,24-DEC-05,2900,S1021
117,Sigal,Tobias,STOBIAS,515.127.4564,24-JUL-05,2800,S1021
118,Guy,Himuro,GHIMURO,515.127.4565,15-NOV-06,2600,S1021
119,Karen,Colmenares,KCOLMENA,515.127.4566,10-AUG-07,2500,S1028
120,Matthew,Weiss,MWEISS,650.123.1234,18-JUL-04,8000,S1028
121,Adam,Fripp,AFRIPP,650.123.2234,10-APR-05,8200,S1028
122,Payam,Kaufling,PKAUFLIN,650.123.3234,01-MAY-03,7900,S1028
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-OCT-05,6500,S1028
124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-NOV-07,5800,S1028
125,Julia,Nayer,JNAYER,650.124.1214,16-JUL-05,3200,S1028
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-SEP-06,2700,S1035
127,James,Landry,JLANDRY,650.124.1334,14-JAN-07,2400,S1035
128,Steven,Markle,SMARKLE,650.124.1434,08-MAR-08,2200,S1035
129,Laura,Bissot,LBISSOT,650.124.5234,20-AUG-05,3300,S1035
130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-OCT-05,2800,S1035
131,James,Marlow,JAMRLOW,650.124.7234,16-FEB-05,2500,S1035
132,TJ,Olson,TJOLSON,650.124.8234,10-APR-07,2100,S1035
133,Jason,Mallin,JMALLIN,650.127.1934,14-JUN-04,3300,S1042
134,Michael,Rogers,MROGERS,650.127.1834,26-AUG-06,2900,S1042
135,Ki,Gee,KGEE,650.127.1734,12-DEC-07,2400,S1042
136,Hazel,Philtanker,HPHILTAN,650.127.1634,06-FEB-08,2200,S1042
137,Renske,Ladwig,RLADWIG,650.121.1234,14-JUL-03,3600,S1042
138,Stephen,Stiles,SSTILES,650.121.2034,26-OCT-05,3200,S1042
139,John,Seo,JSEO,650.121.2019,12-FEB-06,2700,S1042
140,Joshua,Patel,JPATEL,650.121.1834,06-APR-06,2500,S1049
